country,country_code,year,sector_level,sector_code,sector,gas,unit,emissions_value
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,345.26777
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,65933.58045
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,0.690077
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,15.64663
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.009837
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.079606
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.592167
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,338.28596
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,69950.94535
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,0.826247
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,15.20046
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.009837
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.106135
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.648647
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,333.18939
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,71744.3778
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,0.965636
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,15.20117
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.009837
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.093067
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.63213
Austria,AUT,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,330.49533
Austria,AUT,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,77130.99066
Austria,AUT,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.030081
Austria,AUT,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,15.18112
