country,country_code,year,sector_level,sector_code,sector,gas,unit,emissions_mt
Austria,AUT,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,81.119122
Austria,AUT,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,85.041941
Austria,AUT,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,86.802661
Austria,AUT,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,92.140015
Austria,AUT,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,91.939956
Austria,AUT,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,93.088957
Austria,AUT,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,90.647776
Austria,AUT,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,87.889605
Austria,AUT,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,87.34899
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,80.752619
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,85.339467
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,83.21426
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,80.383916
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,80.826551
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,77.120846
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,79.316296
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,80.306181
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,82.703416
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,79.654776
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,80.818576
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,74.795312
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,78.131005
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,73.506582
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,68.674061
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,66.637831
Belgium,BEL,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,148.232324
Belgium,BEL,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,146.649782
Belgium,BEL,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,146.669828
Belgium,BEL,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,146.988077
Belgium,BEL,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,147.865847
Belgium,BEL,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,144.683378
Belgium,BEL,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,142.068695
Belgium,BEL,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,138.40891
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,138.392419
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),All GHGs,Mt CO2 eq.,125.772247
